Sl. No.,Organization Name,Division,District,Upazila,Noofbed,
1,"Bamna Upazila Health Complex, Barguna",Barisal,Barguna,Bamna,31,
2,"Babuganj Upazila Health Complex, Barishal",Barisal,Barishal,Babuganj,31,
3,"Bakerganj Upazila Health Complex, Barishal",Barisal,Barishal,Bakerganj,31,
4,"Banaripara Upazila Health Complex, Barishal",Barisal,Barishal,Banaripara,31,
5,"Hijla Upazila Health Complex, Barishal",Barisal,Barishal,Hizla,31,
6,"Mehendiganj Upazila Health Complex, Barishal",Barisal,Barishal,Mehendiganj,31,
7,"Wazirpur Upazila Health Complex, Barishal",Barisal,Barishal,Wazirpur,31,
8,"Manpura Upazila Health Complex, Bhola",Barisal,Bhola,Manpura,31,
9,"Tajumuddin Upazila Health Complex, Bhola",Barisal,Bhola,Tazumuddin,31,
10,"Kathalia Upazila Health Complex, Jhalokati",Barisal,Jhalokati,Kanthalia,31,
11,"Rajapur Upazila Health Complex, Jhalokati",Barisal,Jhalokati,Rajapur,31,
12,"Bauphal Upazila Health Complex, Patuakhali",Barisal,Patuakhali,Bauphal,31,
13,"Dashmina Upazila Health Complex, Patuakhali",Barisal,Patuakhali,Dashmina,31,
14,"Dumki Upazila Health Complex, Patuakhali",Barisal,Patuakhali,Dumki,31,
15,"Mirzaganj Upazila Health Complex, Patuakhali",Barisal,Patuakhali,Mirzaganj,31,
16,"Rangabali Upazila Health Complex, Patuakhali",Barisal,Patuakhali,Rangabali,31,
17,"Bhandaria Upazila Health Complex, Pirojpur",Barisal,Pirojpur,Bhandaria,31,
18,"Indurkani Upazila Health Complex, Pirojpur",Barisal,Pirojpur,Indurkani,31,
19,"Kawkhali Upazila Health Complex, Pirojpur",Barisal,Pirojpur,Kawkhali,31,
20,"Nazirpur Upazila Health Complex, Pirojpur",Barisal,Pirojpur,Nazirpur,31,
21,"Alikadam Upazila Health Complex, Bandarban",Chittagong,Bandarban,Alikadam,31,
22,"Lama Upazila Health Complex, Bandarban",Chittagong,Bandarban,Lama,31,
23,"Naikhongchari Upazila Health Complex, Bandarban",Chittagong,Bandarban,Naikhongchhari,31,
24,"Rowangchari Upazila Health Complex, Bandarban",Chittagong,Bandarban,Rowangchhari,31,
25,"Ruma Upazila Health Complex, Bandarban",Chittagong,Bandarban,Ruma,31,
26,"Thanchi Upazila Health Complex, Bandarban",Chittagong,Bandarban,Thanchi,31,
27,"Akhaura Upazila Health Complex, Brahmanbaria",Chittagong,Brahmanbaria,Akhaura,31,
28,"Ashugonj Upazila Health Complex, Brahmanbaria",Chittagong,Brahmanbaria,Ashuganj,31,
29,"Bijoynagar Upazila Health Complex, Brahmanbaria",Chittagong,Brahmanbaria,Bijoynagar,31,
30,"Bancharampur Upazila Health Complex, Brahmanbaria",Chittagong,Brahmanbaria,Banchharampur,31,
31,"Kashba Upazila Health Complex, Brahmanbaria",Chittagong,Brahmanbaria,Kasba,31,
32,"Nabinagar Upazila Health Complex, Brahmanbaria",Chittagong,Brahmanbaria,Nabinagar,31,
33,"Faridganj Upazila Health Complex, Chandpur",Chittagong,Chandpur,Faridganj,31,
34,"Haimchar Upazila Health Complex, Chandpur",Chittagong,Chandpur,Haimchar,31,
35,"Matlab(uttar) Upazila Health Complex, Chandpur",Chittagong,Chandpur,Matlab Uttar,31,
36,"Saharasthi Upazila Health Complex, Chandpur",Chittagong,Chandpur,Shahrasti,31,
37,"Fatikchari Upazila Health Complex, Chattogram",Chittagong,Chattogram,Fatikchhari,31,
